name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,actual_price
Toyota Innova,2022,843759,189280,CNG,Trustmark Dealer,Manual,Fourth & Above Owner,21.15,2406,164.95,136.78,4,1092250.4521113143
Kia Seltos,2018,1110620,107822,CNG,Dealer,Manual,Second Owner,21.41,1768,152.52,336.95,4,1404033.8706944366
Ford Ecosport,2016,804738,35270,Petrol,Dealer,Manual,Second Owner,25.48,2397,160.82,111.56,4,1163510.1597628838
Kia Seltos,2016,968640,152605,Electric,Dealer,Automatic,First Owner,30.41,1364,158.24,160.04,6,1338833.135459309
Renault Duster,2007,394662,8426,LPG,Dealer,Manual,Fourth & Above Owner,29.08,1753,195.08,90.69,7,512107.99669081625
Skoda Rapid,2019,824323,47931,LPG,Individual,Manual,First Owner,21.33,2917,69.36,172.93,7,935596.4735650184
Skoda Rapid,2006,496547,123379,Petrol,Dealer,Manual,Third Owner,10.42,1440,68.45,244.29,5,646465.2057755338
Mahindra XUV500,2015,1046720,46701,Petrol,Trustmark Dealer,Automatic,First Owner,13.41,1711,189.86,119.99,7,1444251.102775078
Maruti Swift,2014,1060371,126741,Electric,Dealer,Automatic,First Owner,14.36,2879,178.09,333.43,4,1543572.2261643333
Honda City,2009,1147862,98075,CNG,Dealer,Manual,Third Owner,31.51,1709,185.35,111.33,6,1552158.707505923
Tata Nexon,2005,50000,155421,LPG,Dealer,Automatic,First Owner,31.09,2079,172.82,175.99,5,56422.81314879879
Maruti Swift,2010,50000,37766,Petrol,Individual,Manual,Third Owner,30.26,825,111.02,235.79,4,62768.64769970068
Kia Seltos,2016,1091339,69942,Diesel,Dealer,Manual,Fourth & Above Owner,31.36,1023,169.01,110.79,5,1224906.799591764
Hyundai Creta,2017,609350,106155,Petrol,Trustmark Dealer,Manual,Fourth & Above Owner,15.88,1371,73.14,279.02,5,818434.2523027248
Kia Seltos,2015,440022,166349,Electric,Trustmark Dealer,Manual,First Owner,30.26,1989,177.89,267.26,5,606404.1088916616
Tata Nexon,2015,303961,66830,LPG,Individual,Automatic,Fourth & Above Owner,18.65,1306,53.16,232.36,4,414238.9978524827
Honda City,2015,969738,135923,LPG,Individual,Automatic,Third Owner,30.68,2392,98.88,333.92,5,1450800.406109323
Mahindra XUV500,2008,925929,138420,LPG,Trustmark Dealer,Automatic,Second Owner,19.73,2024,149.69,103.29,7,1077313.617701501
Toyota Innova,2021,833641,196595,CNG,Individual,Automatic,Fourth & Above Owner,34.02,1445,198.4,150.32,4,954763.8517430198
Kia Seltos,2014,1097741,186720,Electric,Individual,Automatic,First Owner,15.84,1100,155.8,149.65,5,1269426.780311216
Hyundai Creta,2017,107389,63056,Diesel,Dealer,Manual,First Owner,16.35,2886,53.76,293.54,6,153299.13957182708
Hyundai Creta,2019,588040,71900,LPG,Individual,Manual,Fourth & Above Owner,29.84,1363,167.42,101.07,4,854845.401096641
Mahindra XUV500,2010,50000,83861,Petrol,Individual,Automatic,Fourth & Above Owner,32.99,1946,150.63,124.35,7,64475.29919076058
Ford Ecosport,2006,83327,157426,Diesel,Dealer,Automatic,Second Owner,23.16,1255,191.77,128.02,5,115028.8421767526
